Letterboxd list export v7
Date,Name,Tags,URL,Description
82,Scenes from a Marriage,1974,https://letterboxd.com/film/scenes-from-a-marriage/,
83,Perfect Blue,1997,https://letterboxd.com/film/perfect-blue/,
84,Good Will Hunting,1997,https://letterboxd.com/film/good-will-hunting/,
85,Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/,
86,Where Is the Friend's House?,1987,https://letterboxd.com/film/where-is-the-friends-house/,
87,In the Mood for Love,2000,https://letterboxd.com/film/in-the-mood-for-love/,
88,A Separation,2011,https://letterboxd.com/film/a-separation/,
89,Apur Sansar,1959,https://letterboxd.com/film/apur-sansar/,
90,Se7en,1995,https://letterboxd.com/film/se7en/,
91,Sherlock Jr.,1924,https://letterboxd.com/film/sherlock-jr/,
92,"Paris, Texas",1984,https://letterboxd.com/film/paris-texas/,
93,One Flew Over the Cuckoo's Nest,1975,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/,
94,Z,1969,https://letterboxd.com/film/z/,
95,Oldboy,2003,https://letterboxd.com/film/oldboy/,
96,Rear Window,1954,https://letterboxd.com/film/rear-window/,
97,Landscape in the Mist,1988,https://letterboxd.com/film/landscape-in-the-mist/,
98,Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/,
99,All About Eve,1950,https://letterboxd.com/film/all-about-eve/,
100,Army of Shadows,1969,https://letterboxd.com/film/army-of-shadows/,
101,The Wages of Fear,1953,https://letterboxd.com/film/the-wages-of-fear/,
102,Judgment at Nuremberg,1961,https://letterboxd.com/film/judgment-at-nuremberg/,
103,Howl's Moving Castle,2004,https://letterboxd.com/film/howls-moving-castle/,
104,Central Station,1998,https://letterboxd.com/film/central-station/,
105,It's Such a Beautiful Day,2012,https://letterboxd.com/film/its-such-a-beautiful-day/,
106,Amadeus,1984,https://letterboxd.com/film/amadeus/,
107,Ordet,1955,https://letterboxd.com/film/ordet/,
108,Chainsaw Man – The Movie: Reze Arc,2025,https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc/,
109,The Thing,1982,https://letterboxd.com/film/the-thing/,
110,How to Make Millions Before Grandma Dies,2024,https://letterboxd.com/film/how-to-make-millions-before-grandma-dies/,
111,A Man Escaped,1956,https://letterboxd.com/film/a-man-escaped/,
112,Raise the Red Lantern,1991,https://letterboxd.com/film/raise-the-red-lantern/,
113,Dead Poets Society,1989,https://letterboxd.com/film/dead-poets-society/,
114,Singin' in the Rain,1952,https://letterboxd.com/film/singin-in-the-rain/,
115,A Special Day,1977,https://letterboxd.com/film/a-special-day/,
116,Still Walking,2008,https://letterboxd.com/film/still-walking/,
117,All That Jazz,1979,https://letterboxd.com/film/all-that-jazz/,
118,The Departed,2006,https://letterboxd.com/film/the-departed/,
119,I'm Still Here,2024,https://letterboxd.com/film/im-still-here-2024/,
120,Monster,2023,https://letterboxd.com/film/monster-2023/,
121,The Silence of the Lambs,1991,https://letterboxd.com/film/the-silence-of-the-lambs/,
122,To Be or Not to Be,1942,https://letterboxd.com/film/to-be-or-not-to-be/,
123,Three Colours: Red,1994,https://letterboxd.com/film/three-colours-red/,
124,Late Spring,1949,https://letterboxd.com/film/late-spring/,
125,Twin Peaks: Fire Walk with Me,1992,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/,
126,Django Unchained,2012,https://letterboxd.com/film/django-unchained/,
127,Wild Strawberries,1957,https://letterboxd.com/film/wild-strawberries/,
128,Prisoners,2013,https://letterboxd.com/film/prisoners/,
129,Das Boot,1981,https://letterboxd.com/film/das-boot/,
130,Rocco and His Brothers,1960,https://letterboxd.com/film/rocco-and-his-brothers/,
131,City Lights,1931,https://letterboxd.com/film/city-lights/,
132,Funeral Parade of Roses,1969,https://letterboxd.com/film/funeral-parade-of-roses/,
133,The Great Dictator,1940,https://letterboxd.com/film/the-great-dictator/,
134,The Seventh Seal,1957,https://letterboxd.com/film/the-seventh-seal/,
135,Pather Panchali,1955,https://letterboxd.com/film/pather-panchali/,
136,Taste of Cherry,1997,https://letterboxd.com/film/taste-of-cherry/,
137,Underground,1995,https://letterboxd.com/film/underground-1995/,
138,Brief Encounter,1945,https://letterboxd.com/film/brief-encounter/,
139,The Celebration,1998,https://letterboxd.com/film/the-celebration/,
140,Mirror,1975,https://letterboxd.com/film/mirror/,
141,The Young Girls of Rochefort,1967,https://letterboxd.com/film/the-young-girls-of-rochefort/,
142,Project Hail Mary,2026,https://letterboxd.com/film/project-hail-mary/,
143,Mommy,2014,https://letterboxd.com/film/mommy-2014/,
144,Before Sunset,2004,https://letterboxd.com/film/before-sunset/,
145,Perfect Days,2023,https://letterboxd.com/film/perfect-days-2023/,
146,Tampopo,1985,https://letterboxd.com/film/tampopo/,
147,No Country for Old Men,2007,https://letterboxd.com/film/no-country-for-old-men/,
148,Psycho,1960,https://letterboxd.com/film/psycho/,
149,Werckmeister Harmonies,2000,https://letterboxd.com/film/werckmeister-harmonies/,
150,Wings of Desire,1987,https://letterboxd.com/film/wings-of-desire/,
151,Heat,1995,https://letterboxd.com/film/heat-1995/,
152,Sing Sing,2023,https://letterboxd.com/film/sing-sing-2023/,
153,Dog Day Afternoon,1975,https://letterboxd.com/film/dog-day-afternoon/,
154,Shoplifters,2018,https://letterboxd.com/film/shoplifters/,
155,Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,https://letterboxd.com/film/puella-magi-madoka-magica-the-movie-part-iii-rebellion/,
156,Nirvanna the Band the Show the Movie,2025,https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie/,
157,The 400 Blows,1959,https://letterboxd.com/film/the-400-blows/,
158,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,
159,The Cremator,1969,https://letterboxd.com/film/the-cremator/,
160,The Elephant Man,1980,https://letterboxd.com/film/the-elephant-man/,
161,Chinatown,1974,https://letterboxd.com/film/chinatown/,
162,Children of Men,2006,https://letterboxd.com/film/children-of-men/,
163,Before Sunrise,1995,https://letterboxd.com/film/before-sunrise/,
164,Dersu Uzala,1975,https://letterboxd.com/film/dersu-uzala/,
165,Yojimbo,1961,https://letterboxd.com/film/yojimbo/,
166,Fantastic Mr. Fox,2009,https://letterboxd.com/film/fantastic-mr-fox/,
167,Opening Night,1977,https://letterboxd.com/film/opening-night/,
168,The Treasure of the Sierra Madre,1948,https://letterboxd.com/film/the-treasure-of-the-sierra-madre/,
169,Children of Paradise,1945,https://letterboxd.com/film/children-of-paradise/,
170,The Lives of Others,2006,https://letterboxd.com/film/the-lives-of-others/,
171,M,1931,https://letterboxd.com/film/m/,
172,The Sacrifice,1986,https://letterboxd.com/film/the-sacrifice/,
173,The Father,2020,https://letterboxd.com/film/the-father-2020/,
174,Malcolm X,1992,https://letterboxd.com/film/malcolm-x-1992/,
175,Azur & Asmar: The Princes' Quest,2006,https://letterboxd.com/film/azur-asmar-the-princes-quest/,
176,We All Loved Each Other So Much,1974,https://letterboxd.com/film/we-all-loved-each-other-so-much/,
177,Terminator 2: Judgment Day,1991,https://letterboxd.com/film/terminator-2-judgment-day/,
178,Secrets & Lies,1996,https://letterboxd.com/film/secrets-lies/,
179,La Notte,1961,https://letterboxd.com/film/la-notte/,
180,The Man Who Shot Liberty Valance,1962,https://letterboxd.com/film/the-man-who-shot-liberty-valance/,
181,Bicycle Thieves,1948,https://letterboxd.com/film/bicycle-thieves/,
182,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://letterboxd.com/film/evangelion-3010-thrice-upon-a-time/,
183,Fail Safe,1964,https://letterboxd.com/film/fail-safe/,
184,The Hunt,2012,https://letterboxd.com/film/the-hunt-2012/,
185,The Green Mile,1999,https://letterboxd.com/film/the-green-mile/,
186,Nostalgia,1983,https://letterboxd.com/film/nostalgia-1983/,
187,The Prestige,2006,https://letterboxd.com/film/the-prestige/,
188,"Life, and Nothing More…",1992,https://letterboxd.com/film/life-and-nothing-more/,
189,The Iron Giant,1999,https://letterboxd.com/film/the-iron-giant/,
190,Akira,1988,https://letterboxd.com/film/akira/,
191,Song of the Sea,2014,https://letterboxd.com/film/song-of-the-sea/,
192,Chungking Express,1994,https://letterboxd.com/film/chungking-express/,
193,Casablanca,1942,https://letterboxd.com/film/casablanca/,
194,Ace in the Hole,1951,https://letterboxd.com/film/ace-in-the-hole/,
195,Cure,1997,https://letterboxd.com/film/cure/,
196,Some Like It Hot,1959,https://letterboxd.com/film/some-like-it-hot/,
197,Ritual,2000,https://letterboxd.com/film/ritual-2000/,
